name,composition,manufacturer,pack_size,mrp
Sinarest Tablet,Sinarest + Excipients,Pharma_58,27,44.29
Ascoril 650mg,Ascoril + Excipients,Pharma_96,2,245.35
Ascoril 500mg,Ascoril + Excipients,Pharma_98,3,284.19
Medicine_1152,Unknown Composition,Pharma_13,12,280.79
Sumo 500mg,Sumo + Excipients,Pharma_64,17,428.52
Crocin Tablet,Crocin + Excipients,Pharma_12,7,281.66
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_11,1,314.79
Medicine_9059,Unknown Composition,Pharma_55,26,401.09
Amoxicillin Tablet,Amoxicillin + Excipients,Pharma_50,20,271.76
Crocin 500mg,Crocin + Excipients,Pharma_67,9,171.41
Maxtra 650mg,Maxtra + Excipients,Pharma_69,10,62.04
Medicine_6116,Unknown Composition,Pharma_10,14,226.29
Medicine_1771,Unknown Composition,Pharma_17,10,497.22
Medicine_3278,Unknown Composition,Pharma_44,26,37.61
Medicine_6571,Unknown Composition,Pharma_6,28,338.9
Medicine_3752,Unknown Composition,Pharma_82,28,496.67
Medicine_4872,Unknown Composition,Pharma_50,15,436.67
Combiflam Tablet,Combiflam + Excipients,Pharma_59,13,35.4
Medicine_9809,Unknown Composition,Pharma_9,2,409.64
Tramadol 650mg,Tramadol + Excipients,Pharma_28,6,391.83
Medicine_5563,Unknown Composition,Pharma_95,19,128.48
Medicine_1428,Unknown Composition,Pharma_45,28,309.75
Otrivin Syrup,Otrivin + Excipients,Pharma_68,8,153.05
Paracetamol Tablet,Paracetamol + Excipients,Pharma_37,11,321.13
Crocin Tablet,Crocin + Excipients,Pharma_34,29,33.8
Combiflam 650mg,Combiflam + Excipients,Pharma_60,3,258.11
Medicine_9983,Unknown Composition,Pharma_77,28,39.93
Sinarest 650mg,Sinarest + Excipients,Pharma_71,11,78.36
Medicine_7101,Unknown Composition,Pharma_20,6,181.49
Volini Syrup,Volini + Excipients,Pharma_27,14,365.63
Ambroxol Syrup,Ambroxol + Excipients,Pharma_73,5,143.16
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_9,11,169.87
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_72,6,360.19
Medicine_7644,Unknown Composition,Pharma_30,9,335.61
Crocin Tablet,Crocin + Excipients,Pharma_92,16,377.66
Medicine_7495,Unknown Composition,Pharma_72,22,434.06
Combiflam 650mg,Combiflam + Excipients,Pharma_23,20,60.87
Cetirizine 650mg,Cetirizine + Excipients,Pharma_60,18,490.38
Otrivin 650mg,Otrivin + Excipients,Pharma_53,20,360.04
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_93,19,108.06
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_69,26,19.45
Tramadol 500mg,Tramadol + Excipients,Pharma_54,29,26.03
Cetirizine 650mg,Cetirizine + Excipients,Pharma_92,8,345.83
Azithromycin Syrup,Azithromycin + Excipients,Pharma_68,3,222.12
Sumo 650mg,Sumo + Excipients,Pharma_53,22,370.28
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_50,24,240.6
Augmentin 500mg,Augmentin + Excipients,Pharma_94,6,246.27
Crocin 650mg,Crocin + Excipients,Pharma_23,21,415.59
Cetirizine 650mg,Cetirizine + Excipients,Pharma_28,27,395.04
Amoxicillin Syrup,Amoxicillin + Excipients,Pharma_41,19,457.73
Crocin Tablet,Crocin + Excipients,Pharma_8,23,177.11
Otrivin 650mg,Otrivin + Excipients,Pharma_86,5,267.27
Azithromycin Syrup,Azithromycin + Excipients,Pharma_79,18,42.38
Otrivin Tablet,Otrivin + Excipients,Pharma_61,4,85.42
Medicine_1898,Unknown Composition,Pharma_6,26,85.66
Cetirizine 500mg,Cetirizine + Excipients,Pharma_24,29,156.99
Medicine_1430,Unknown Composition,Pharma_67,2,131.9
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_99,13,100.15
Ambroxol 500mg,Ambroxol + Excipients,Pharma_78,27,230.97
Tramadol Syrup,Tramadol + Excipients,Pharma_95,6,205.37
Medicine_9086,Unknown Composition,Pharma_24,29,357.38
Azithromycin Tablet,Azithromycin + Excipients,Pharma_62,7,414.98
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_72,28,57.04
Combiflam 650mg,Combiflam + Excipients,Pharma_28,5,96.46
Medicine_9040,Unknown Composition,Pharma_31,24,279.04
Medicine_9145,Unknown Composition,Pharma_76,24,55.1
Tramadol 650mg,Tramadol + Excipients,Pharma_19,12,154.71
Medicine_6282,Unknown Composition,Pharma_59,1,472.72
Dolo 650 Tablet,Dolo 650 + Excipients,Pharma_99,18,295.28
Medicine_9410,Unknown Composition,Pharma_51,18,46.34
Augmentin Syrup,Augmentin + Excipients,Pharma_84,1,223.11
Medicine_8825,Unknown Composition,Pharma_15,7,50.6
Sumo Syrup,Sumo + Excipients,Pharma_52,5,477.6
Cetirizine Syrup,Cetirizine + Excipients,Pharma_73,3,291.56
Tramadol 500mg,Tramadol + Excipients,Pharma_9,10,297.79
Tramadol Tablet,Tramadol + Excipients,Pharma_87,29,268.04
Medicine_9919,Unknown Composition,Pharma_45,18,314.98
Augmentin 500mg,Augmentin + Excipients,Pharma_42,13,251.09
Ascoril Tablet,Ascoril + Excipients,Pharma_56,1,375.64
Sumo 650mg,Sumo + Excipients,Pharma_34,8,161.01
Medicine_9367,Unknown Composition,Pharma_62,8,66.41
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_71,8,24.09
Benadryl 500mg,Benadryl + Excipients,Pharma_74,22,234.16
Cetirizine Syrup,Cetirizine + Excipients,Pharma_74,25,219.03
Sinarest 650mg,Sinarest + Excipients,Pharma_74,8,333.31
Medicine_6279,Unknown Composition,Pharma_12,9,192.95
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_72,12,257.06
Medicine_5131,Unknown Composition,Pharma_71,22,329.7
Tramadol 500mg,Tramadol + Excipients,Pharma_51,21,19.77
Medicine_5568,Unknown Composition,Pharma_2,7,295.18
Ambroxol Tablet,Ambroxol + Excipients,Pharma_94,15,467.23
Medicine_1524,Unknown Composition,Pharma_81,1,242.43
Paracetamol Tablet,Paracetamol + Excipients,Pharma_7,25,25.84
Sumo 650mg,Sumo + Excipients,Pharma_15,5,184.94
Diclofenac 500mg,Diclofenac + Excipients,Pharma_35,16,423.12
Paracetamol 500mg,Paracetamol + Excipients,Pharma_8,15,248.06
Medicine_2955,Unknown Composition,Pharma_25,22,334.12
Medicine_4566,Unknown Composition,Pharma_2,14,172.88
Medicine_4042,Unknown Composition,Pharma_67,18,182.86
Medicine_7052,Unknown Composition,Pharma_8,18,266.56
Benadryl Tablet,Benadryl + Excipients,Pharma_17,3,386.71
Medicine_1645,Unknown Composition,Pharma_44,13,309.75
Volini Syrup,Volini + Excipients,Pharma_53,3,94.54
Medicine_1241,Unknown Composition,Pharma_16,20,80.54
Medicine_3685,Unknown Composition,Pharma_34,6,370.12
Maxtra 650mg,Maxtra + Excipients,Pharma_67,15,143.85
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_22,17,285.6
Volini Syrup,Volini + Excipients,Pharma_48,25,334.69
Medicine_7784,Unknown Composition,Pharma_42,17,393.66
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_2,17,81.86
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_87,14,22.79
Diclofenac 650mg,Diclofenac + Excipients,Pharma_70,7,267.56
Medicine_7157,Unknown Composition,Pharma_76,14,218.6
Medicine_9156,Unknown Composition,Pharma_19,9,404.73
Medicine_6662,Unknown Composition,Pharma_91,5,126.12
Cetirizine Syrup,Cetirizine + Excipients,Pharma_49,5,337.81
Sinarest 650mg,Sinarest + Excipients,Pharma_3,8,126.46
Augmentin Syrup,Augmentin + Excipients,Pharma_88,20,34.78
Medicine_5617,Unknown Composition,Pharma_76,23,244.05
Medicine_2745,Unknown Composition,Pharma_24,19,433.45
Ascoril Syrup,Ascoril + Excipients,Pharma_68,9,252.25
Maxtra Tablet,Maxtra + Excipients,Pharma_49,14,377.74
Maxtra Tablet,Maxtra + Excipients,Pharma_77,12,229.26
Paracetamol 500mg,Paracetamol + Excipients,Pharma_97,8,445.4
Medicine_3314,Unknown Composition,Pharma_24,16,269.09
Maxtra 650mg,Maxtra + Excipients,Pharma_28,24,261.94
Medicine_3119,Unknown Composition,Pharma_30,18,389.22
Otrivin Tablet,Otrivin + Excipients,Pharma_60,7,493.92
Medicine_1987,Unknown Composition,Pharma_25,16,232.11
Otrivin Syrup,Otrivin + Excipients,Pharma_8,23,80.81
Medicine_2428,Unknown Composition,Pharma_35,3,233.95
Medicine_1390,Unknown Composition,Pharma_78,6,407.82
Cetirizine 650mg,Cetirizine + Excipients,Pharma_34,10,429.42
Medicine_5830,Unknown Composition,Pharma_46,6,400.91
Volini 500mg,Volini + Excipients,Pharma_95,5,127.55
Medicine_7017,Unknown Composition,Pharma_78,22,43.89
Ambroxol Syrup,Ambroxol + Excipients,Pharma_56,7,118.48
Medicine_2594,Unknown Composition,Pharma_96,26,95.69
Medicine_2149,Unknown Composition,Pharma_29,24,424.05
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_27,7,297.45
Paracetamol 650mg,Paracetamol + Excipients,Pharma_78,10,219.93
Benadryl Syrup,Benadryl + Excipients,Pharma_28,20,429.25
Medicine_7804,Unknown Composition,Pharma_54,26,134.24
Cefixime 500mg,Cefixime + Excipients,Pharma_27,14,339.36
Combiflam Tablet,Combiflam + Excipients,Pharma_40,2,324.37
Medicine_7052,Unknown Composition,Pharma_60,22,231.2
Medicine_9261,Unknown Composition,Pharma_6,3,127.47
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_2,3,465.6
Ascoril 500mg,Ascoril + Excipients,Pharma_65,28,229.06
Medicine_3241,Unknown Composition,Pharma_85,22,122.57
Ascoril 650mg,Ascoril + Excipients,Pharma_50,9,231.02
Ascoril 500mg,Ascoril + Excipients,Pharma_73,11,428.8
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_49,29,12.59
Paracetamol Syrup,Paracetamol + Excipients,Pharma_10,17,414.75
Medicine_8365,Unknown Composition,Pharma_13,12,379.45
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_72,14,441.83
Diclofenac 500mg,Diclofenac + Excipients,Pharma_65,25,384.61
Maxtra Tablet,Maxtra + Excipients,Pharma_60,19,49.67
Sinarest Syrup,Sinarest + Excipients,Pharma_69,3,90.56
Tramadol Syrup,Tramadol + Excipients,Pharma_82,11,286.64
Volini Syrup,Volini + Excipients,Pharma_80,26,233.04
Benadryl 500mg,Benadryl + Excipients,Pharma_58,8,441.33
Sumo 650mg,Sumo + Excipients,Pharma_96,7,47.33
Medicine_9889,Unknown Composition,Pharma_51,20,316.15
Maxtra Tablet,Maxtra + Excipients,Pharma_54,19,363.28
Medicine_1829,Unknown Composition,Pharma_19,12,359.34
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_10,11,250.44
Medicine_7306,Unknown Composition,Pharma_4,6,119.74
Medicine_3436,Unknown Composition,Pharma_89,22,290.09
Medicine_2334,Unknown Composition,Pharma_84,2,438.6
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_60,16,281.32
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_71,27,455.65
Medicine_9022,Unknown Composition,Pharma_73,11,447.09
Medicine_2385,Unknown Composition,Pharma_12,5,282.49
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_53,25,221.73
Medicine_4198,Unknown Composition,Pharma_58,1,410.84
Volini 650mg,Volini + Excipients,Pharma_26,16,32.27
Benadryl Tablet,Benadryl + Excipients,Pharma_85,22,177.6
Ascoril 500mg,Ascoril + Excipients,Pharma_27,27,481.84
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_51,29,279.65
Medicine_9181,Unknown Composition,Pharma_73,13,123.24
Cefixime Syrup,Cefixime + Excipients,Pharma_18,15,41.19
Cetirizine 500mg,Cetirizine + Excipients,Pharma_25,14,489.31
Cefixime 500mg,Cefixime + Excipients,Pharma_75,2,48.2
Maxtra Syrup,Maxtra + Excipients,Pharma_14,16,410.38
Benadryl Tablet,Benadryl + Excipients,Pharma_53,21,340.59
Medicine_2899,Unknown Composition,Pharma_76,7,55.92
Medicine_1986,Unknown Composition,Pharma_20,26,98.1
Medicine_7277,Unknown Composition,Pharma_83,15,237.61
Medicine_7065,Unknown Composition,Pharma_34,11,264.74
Crocin 500mg,Crocin + Excipients,Pharma_63,19,350.5
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_10,7,484.55
Medicine_4016,Unknown Composition,Pharma_15,23,450.49
Sinarest 650mg,Sinarest + Excipients,Pharma_40,3,375.0
Sinarest Syrup,Sinarest + Excipients,Pharma_49,18,138.77
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_82,12,149.99
Ascoril Syrup,Ascoril + Excipients,Pharma_52,9,408.35
Medicine_9939,Unknown Composition,Pharma_55,16,270.7
Sinarest Tablet,Sinarest + Excipients,Pharma_62,9,109.89
Medicine_3637,Unknown Composition,Pharma_62,10,192.67
Medicine_5455,Unknown Composition,Pharma_85,8,92.26
Medicine_8308,Unknown Composition,Pharma_16,16,80.84
Medicine_6926,Unknown Composition,Pharma_14,15,176.91
Volini 500mg,Volini + Excipients,Pharma_36,2,245.41
Dolo 650 Tablet,Dolo 650 + Excipients,Pharma_48,22,203.59
Volini 500mg,Volini + Excipients,Pharma_98,7,317.91
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_78,22,495.81
Medicine_8418,Unknown Composition,Pharma_31,25,210.92
Medicine_7439,Unknown Composition,Pharma_76,19,104.72
Medicine_1212,Unknown Composition,Pharma_81,22,485.03
Diclofenac 650mg,Diclofenac + Excipients,Pharma_89,13,456.2
Medicine_1735,Unknown Composition,Pharma_53,21,15.76
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_10,29,61.55
Tramadol Tablet,Tramadol + Excipients,Pharma_84,21,314.53
Volini 650mg,Volini + Excipients,Pharma_72,27,481.55
Medicine_8163,Unknown Composition,Pharma_30,1,324.85
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_68,9,130.97
Medicine_5674,Unknown Composition,Pharma_76,18,128.91
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_18,29,264.68
Ascoril 500mg,Ascoril + Excipients,Pharma_85,28,291.95
Medicine_5048,Unknown Composition,Pharma_66,14,158.27
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_67,19,424.34
Dolo 650 Tablet,Dolo 650 + Excipients,Pharma_1,23,273.04
Medicine_6627,Unknown Composition,Pharma_74,5,216.36
Medicine_5342,Unknown Composition,Pharma_93,19,475.34
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_46,20,51.6
Maxtra 650mg,Maxtra + Excipients,Pharma_13,19,442.88
Medicine_7499,Unknown Composition,Pharma_70,14,165.65
Paracetamol Syrup,Paracetamol + Excipients,Pharma_46,22,461.44
Ambroxol Syrup,Ambroxol + Excipients,Pharma_57,20,126.33
Medicine_7301,Unknown Composition,Pharma_97,11,388.09
Ofloxacin Syrup,Ofloxacin + Excipients,Pharma_7,8,59.1
Volini 650mg,Volini + Excipients,Pharma_28,26,433.7
Medicine_7849,Unknown Composition,Pharma_51,10,463.51
Medicine_5318,Unknown Composition,Pharma_61,6,411.43
Sumo Tablet,Sumo + Excipients,Pharma_79,20,268.29
Maxtra Syrup,Maxtra + Excipients,Pharma_23,20,493.39
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_36,4,299.39
Benadryl Syrup,Benadryl + Excipients,Pharma_47,19,416.93
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_93,18,319.5
Cefixime 500mg,Cefixime + Excipients,Pharma_42,10,145.98
Sumo Syrup,Sumo + Excipients,Pharma_84,6,497.07
Azithromycin Tablet,Azithromycin + Excipients,Pharma_61,18,15.83
Ascoril Tablet,Ascoril + Excipients,Pharma_11,3,372.43
Sumo Tablet,Sumo + Excipients,Pharma_25,18,337.99
Benadryl Syrup,Benadryl + Excipients,Pharma_46,7,380.07
Combiflam 650mg,Combiflam + Excipients,Pharma_83,4,349.57
Crocin Tablet,Crocin + Excipients,Pharma_49,22,314.02
Cefixime 650mg,Cefixime + Excipients,Pharma_86,8,65.65
Benadryl Syrup,Benadryl + Excipients,Pharma_95,12,302.17
Volini Syrup,Volini + Excipients,Pharma_65,17,275.78
Medicine_5517,Unknown Composition,Pharma_85,5,173.87
Combiflam Syrup,Combiflam + Excipients,Pharma_22,18,79.87
Paracetamol 650mg,Paracetamol + Excipients,Pharma_46,3,176.5
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_83,14,494.49
Medicine_2769,Unknown Composition,Pharma_98,11,310.22
Medicine_2648,Unknown Composition,Pharma_80,29,326.34
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_82,4,201.44
Medicine_4778,Unknown Composition,Pharma_36,27,142.45
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_40,7,312.7
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_23,12,369.99
Maxtra Syrup,Maxtra + Excipients,Pharma_7,28,17.25
Medicine_5692,Unknown Composition,Pharma_57,1,389.92
Combiflam Syrup,Combiflam + Excipients,Pharma_62,12,273.46
Medicine_5864,Unknown Composition,Pharma_51,22,372.59
Medicine_8681,Unknown Composition,Pharma_54,8,364.65
Diclofenac Syrup,Diclofenac + Excipients,Pharma_63,9,446.21
Medicine_3869,Unknown Composition,Pharma_58,14,198.64
Volini Tablet,Volini + Excipients,Pharma_57,15,76.22
Medicine_6661,Unknown Composition,Pharma_68,6,312.55
Medicine_5018,Unknown Composition,Pharma_34,4,422.32
Diclofenac 500mg,Diclofenac + Excipients,Pharma_73,7,480.79
Medicine_1133,Unknown Composition,Pharma_45,1,386.42
Cetirizine 650mg,Cetirizine + Excipients,Pharma_3,5,326.97
Medicine_2308,Unknown Composition,Pharma_13,26,194.43
Medicine_3033,Unknown Composition,Pharma_58,28,449.86
Cefixime 500mg,Cefixime + Excipients,Pharma_76,18,423.65
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_8,3,337.67
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_40,28,20.23
Medicine_4055,Unknown Composition,Pharma_97,21,407.29
Maxtra 500mg,Maxtra + Excipients,Pharma_2,23,61.0
Benadryl 500mg,Benadryl + Excipients,Pharma_56,1,44.55
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_57,20,86.92
Diclofenac 500mg,Diclofenac + Excipients,Pharma_72,18,234.17
Cetirizine Syrup,Cetirizine + Excipients,Pharma_38,5,48.83
Ascoril 650mg,Ascoril + Excipients,Pharma_8,14,129.43
Paracetamol Syrup,Paracetamol + Excipients,Pharma_3,27,236.86
Medicine_7080,Unknown Composition,Pharma_17,3,483.48
Diclofenac 650mg,Diclofenac + Excipients,Pharma_83,17,499.86
Medicine_6513,Unknown Composition,Pharma_53,14,162.03
Ascoril Tablet,Ascoril + Excipients,Pharma_49,20,359.52
Medicine_7781,Unknown Composition,Pharma_2,18,185.12
Medicine_5548,Unknown Composition,Pharma_87,13,50.09
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_4,26,323.76
Medicine_4684,Unknown Composition,Pharma_84,14,331.38
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_35,16,19.5
Medicine_2064,Unknown Composition,Pharma_83,11,117.02
Medicine_6807,Unknown Composition,Pharma_58,13,163.73
Cetirizine 650mg,Cetirizine + Excipients,Pharma_1,12,96.4
Benadryl 650mg,Benadryl + Excipients,Pharma_17,4,420.92
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_69,23,130.08
Volini 500mg,Volini + Excipients,Pharma_44,13,80.41
Medicine_7547,Unknown Composition,Pharma_55,15,267.12
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_52,28,308.6
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_91,13,264.77
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_15,13,447.0
Maxtra Syrup,Maxtra + Excipients,Pharma_73,12,239.04
Aceclofenac 500mg,Aceclofenac + Excipients,Pharma_47,11,369.75
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_70,3,450.18
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_77,2,151.49
Sinarest Tablet,Sinarest + Excipients,Pharma_71,28,415.99
Maxtra Tablet,Maxtra + Excipients,Pharma_85,16,168.86
Benadryl Syrup,Benadryl + Excipients,Pharma_77,4,57.49
Benadryl 500mg,Benadryl + Excipients,Pharma_58,19,330.8
Volini Syrup,Volini + Excipients,Pharma_90,18,162.12
Medicine_7704,Unknown Composition,Pharma_28,2,75.57
Paracetamol 500mg,Paracetamol + Excipients,Pharma_81,18,338.08
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_27,22,487.93
Ascoril Tablet,Ascoril + Excipients,Pharma_8,21,369.33
Sumo Syrup,Sumo + Excipients,Pharma_60,15,27.38
Cefixime Tablet,Cefixime + Excipients,Pharma_14,26,195.87
Diclofenac 650mg,Diclofenac + Excipients,Pharma_59,15,274.47
Otrivin 500mg,Otrivin + Excipients,Pharma_43,26,126.86
Medicine_4176,Unknown Composition,Pharma_16,15,430.0
Augmentin 650mg,Augmentin + Excipients,Pharma_52,11,49.45
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_40,19,434.67
Sumo 650mg,Sumo + Excipients,Pharma_6,15,46.67
Tramadol 650mg,Tramadol + Excipients,Pharma_30,24,57.33
Azithromycin 500mg,Azithromycin + Excipients,Pharma_4,7,281.42
Medicine_1371,Unknown Composition,Pharma_29,23,38.08
Aceclofenac 650mg,Aceclofenac + Excipients,Pharma_62,11,69.06
Otrivin Syrup,Otrivin + Excipients,Pharma_13,10,385.36
Dextromethorphan Tablet,Dextromethorphan + Excipients,Pharma_85,23,332.65
Benadryl Tablet,Benadryl + Excipients,Pharma_6,3,248.24
Combiflam 650mg,Combiflam + Excipients,Pharma_83,20,476.78
Cetirizine 650mg,Cetirizine + Excipients,Pharma_74,21,175.85
Volini 650mg,Volini + Excipients,Pharma_3,7,432.68
Sumo 500mg,Sumo + Excipients,Pharma_38,15,460.88
Diclofenac Syrup,Diclofenac + Excipients,Pharma_93,13,499.67
Paracetamol Tablet,Paracetamol + Excipients,Pharma_7,22,282.98
Paracetamol Syrup,Paracetamol + Excipients,Pharma_12,11,45.58
Sumo Syrup,Sumo + Excipients,Pharma_20,8,320.85
Medicine_4368,Unknown Composition,Pharma_46,20,227.3
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_44,21,484.57
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_26,21,409.7
Otrivin 500mg,Otrivin + Excipients,Pharma_15,26,309.79
Amoxicillin Tablet,Amoxicillin + Excipients,Pharma_48,29,91.5
Medicine_3383,Unknown Composition,Pharma_36,24,371.47
Maxtra Tablet,Maxtra + Excipients,Pharma_15,28,443.51
Augmentin Tablet,Augmentin + Excipients,Pharma_81,15,219.51
Crocin Tablet,Crocin + Excipients,Pharma_86,25,386.73
Ambroxol Tablet,Ambroxol + Excipients,Pharma_53,9,87.85
Maxtra Syrup,Maxtra + Excipients,Pharma_23,17,61.42
Ambroxol 650mg,Ambroxol + Excipients,Pharma_69,11,148.55
Paracetamol Syrup,Paracetamol + Excipients,Pharma_52,26,109.04
Cetirizine Tablet,Cetirizine + Excipients,Pharma_72,12,83.04
Benadryl 650mg,Benadryl + Excipients,Pharma_40,17,11.8
Diclofenac 500mg,Diclofenac + Excipients,Pharma_61,26,250.37
Cetirizine 500mg,Cetirizine + Excipients,Pharma_49,19,135.3
Medicine_6449,Unknown Composition,Pharma_78,25,72.2
Medicine_3527,Unknown Composition,Pharma_72,22,379.95
Crocin 650mg,Crocin + Excipients,Pharma_72,1,434.94
Crocin 500mg,Crocin + Excipients,Pharma_57,10,175.36
Medicine_6446,Unknown Composition,Pharma_76,24,53.03
Medicine_5193,Unknown Composition,Pharma_68,9,120.74
Sumo Syrup,Sumo + Excipients,Pharma_90,15,491.75
Medicine_4844,Unknown Composition,Pharma_79,24,52.45
Medicine_3280,Unknown Composition,Pharma_35,15,110.09
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_81,10,194.36
Volini 650mg,Volini + Excipients,Pharma_54,22,202.22
Medicine_5400,Unknown Composition,Pharma_58,20,334.67
Diclofenac Syrup,Diclofenac + Excipients,Pharma_24,28,466.73
Combiflam 500mg,Combiflam + Excipients,Pharma_82,4,254.72
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_12,3,305.64
Medicine_4289,Unknown Composition,Pharma_90,24,419.82
Benadryl 650mg,Benadryl + Excipients,Pharma_4,16,290.49
Maxtra 500mg,Maxtra + Excipients,Pharma_53,25,119.58
Benadryl Syrup,Benadryl + Excipients,Pharma_51,13,116.55
Medicine_7152,Unknown Composition,Pharma_44,27,457.17
Medicine_7214,Unknown Composition,Pharma_50,24,464.43
Benadryl Syrup,Benadryl + Excipients,Pharma_99,28,257.34
Benadryl Tablet,Benadryl + Excipients,Pharma_73,8,227.23
Amoxicillin Syrup,Amoxicillin + Excipients,Pharma_32,24,467.84
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_29,23,85.94
Medicine_1615,Unknown Composition,Pharma_86,8,200.66
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_31,18,446.05
Volini 500mg,Volini + Excipients,Pharma_72,7,367.26
Medicine_9740,Unknown Composition,Pharma_15,15,182.43
Medicine_7433,Unknown Composition,Pharma_59,24,332.32
Volini Tablet,Volini + Excipients,Pharma_31,6,411.59
Benadryl Tablet,Benadryl + Excipients,Pharma_70,3,56.4
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_36,3,292.99
Cetirizine 650mg,Cetirizine + Excipients,Pharma_93,19,76.11
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_95,18,15.63
Medicine_2148,Unknown Composition,Pharma_31,11,404.3
Paracetamol Syrup,Paracetamol + Excipients,Pharma_30,12,372.15
Tramadol 500mg,Tramadol + Excipients,Pharma_53,24,497.78
Otrivin Tablet,Otrivin + Excipients,Pharma_45,6,102.5
Cetirizine 650mg,Cetirizine + Excipients,Pharma_35,24,243.97
Ascoril Syrup,Ascoril + Excipients,Pharma_68,4,163.85
Medicine_3503,Unknown Composition,Pharma_94,16,52.14
Medicine_8828,Unknown Composition,Pharma_54,22,221.75
Medicine_6424,Unknown Composition,Pharma_97,19,414.54
Medicine_9293,Unknown Composition,Pharma_75,20,315.4
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_15,23,176.28
Medicine_5207,Unknown Composition,Pharma_73,13,448.47
Cefixime 500mg,Cefixime + Excipients,Pharma_9,15,320.56
Ambroxol Tablet,Ambroxol + Excipients,Pharma_32,3,374.42
Cefixime Syrup,Cefixime + Excipients,Pharma_76,27,245.09
Crocin Tablet,Crocin + Excipients,Pharma_68,11,437.25
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_54,5,429.98
Sumo 500mg,Sumo + Excipients,Pharma_30,7,205.7
Benadryl 500mg,Benadryl + Excipients,Pharma_93,9,341.18
Medicine_7164,Unknown Composition,Pharma_1,3,272.99
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_59,28,168.46
Maxtra Syrup,Maxtra + Excipients,Pharma_33,21,109.01
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_4,12,470.71
Medicine_1001,Unknown Composition,Pharma_63,14,382.49
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_43,15,312.42
Medicine_8633,Unknown Composition,Pharma_18,17,169.27
Ascoril Tablet,Ascoril + Excipients,Pharma_76,26,170.29
Levocetirizine 650mg,Levocetirizine + Excipients,Pharma_22,3,217.99
